Study Area,Transect Name,Point Id,Date,Point Index,Direction,Canopy1,Canopy2,Canopy3,Top Layer,Height,Lower1,Lower2,Lower3,Lower4,Lower5,Lower6,Lower7,Lower8,Lower9,Lower10,Soil Surface,Thatch Indices Lower,Thatch Top Layer
SMA-11-01,TOKA,TOKA-006,4/19/2018,1,126,,,,PHAQ,54,L,,,,,,,,,,S,,1
SMA-11-01,TOKA,TOKA-006,4/19/2018,2,126,,,,PHAQ,22,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,3,126,,,,PHAQ,15,VUBR,2GA,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,4,126,,,,PHAQ,23,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,5,126,,,,PHAQ,22,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,6,126,,,,GEDI,15,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,7,126,,,,PHAQ,20,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,8,126,,,,PHAQ,17,VUBR,LOCO6,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,9,126,,,,VUBR,15,LIBI5,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,10,126,,,,PHAQ,24,LOCO6,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,11,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,12,126,,,,PHAQ,11,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,13,126,,,,PHAQ,26,2GA,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,14,126,,,,PHAQ,33,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,15,126,,,,VUBR,14,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,16,126,,,,PHAQ,24,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,17,126,,,,PHAQ,21,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,18,126,,,,PHAQ,25,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,19,126,,,,PHAQ,35,JUPA2,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,20,126,,,,PHAQ,29,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,21,126,,,,PHAQ,10,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,22,126,,,,PHAQ,19,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,23,126,,,,PHAQ,24,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,24,126,,,,VUBR,35,PHAQ,VUBR,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,25,126,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,26,126,,,,PHAQ,15,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,27,126,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,28,126,,,,PHAQ,15,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,29,126,,,,VUBR,24,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,30,126,,,,PHAQ,31,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,31,126,,,,PHAQ,20,VUBR,VUBR,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,32,126,,,,VUBR,14,PHAQ,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,33,126,,,,PHAQ,2,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,34,126,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,35,126,,,,PHAQ,18,GEDI,LIBI5,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,36,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,37,126,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,38,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,39,126,,,,PHAQ,14,LOCO6,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,40,126,,,,PHAQ,19,LOCO6,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,41,126,,,,PHAQ,18,2FA,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,42,126,,,,PHAQ,33,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,43,126,,,,PHAQ,20,VUBR,VUBR,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,44,126,,,,DACA3,7,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,45,126,,,,PHAQ,20,BRHO2,DACA3,2GA,L,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,46,126,,,,PHAQ,50,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,47,126,,,,JUPA2,30,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,48,126,,,,VUBR,30,PHAQ,BRHO2,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,49,126,,,,RORO,15,L,,,,,,,,,,DACA3,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,50,126,,,,DACA3,13,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,1,306,BAPI,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,2,306,BAPI,,,PHAQ,26,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,3,306,,,,PHAQ,23,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,4,306,,,,PHAQ,30,VUBR,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,5,306,,,,PHAQ,15,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,6,306,,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,7,306,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,8,306,,,,VUBR,12,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,9,306,BAPI,,,VUBR,10,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,10,306,,,,PHAQ,19,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,11,306,,,,NOPLANT,NA,,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,12,306,,,,VUBR,22,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,13,306,,,,VUBR,4,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,14,306,,,,PHAQ,26,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,15,306,,,,JUOC2,19,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,16,306,,,,VUBR,10,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,17,306,,,,PHAQ,29,VUBR,LOCO6,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,18,306,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,19,306,,,,PHAQ,23,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,20,306,,,,VUBR,10,DACA3,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,21,306,,,,VUBR,38,VISA,GEDI,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,22,306,,,,VUBR,11,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,23,306,,,,PHAQ,37,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,24,306,,,,PHAQ,14,L,,,,,,,,,,S,,1
SMA-11-01,TOKA,TOKA-006,4/19/2018,25,306,,,,PHAQ,5,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,26,306,,,,VUBR,6,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,27,306,,,,DACA3,7,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,28,306,,,,PHAQ,11,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,29,306,,,,PHAQ,10,VUBR,VUBR,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,30,306,,,,PHAQ,38,L,,,,,,,,,,S,,1
SMA-11-01,TOKA,TOKA-006,4/19/2018,31,306,,,,VUBR,4,DACA3,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,32,306,,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,33,306,,,,PHAQ,5,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,34,306,,,,VUBR,4,DACA3,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,35,306,BAPI,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,36,306,,,,AICA,7,2GA,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,37,306,,,,PHAQ,43,,L,,,,,,,,,S,,1
SMA-11-01,TOKA,TOKA-006,4/19/2018,38,306,,,,PHAQ,35,VUBR,L,,,,,,,,,S,,1
SMA-11-01,TOKA,TOKA-006,4/19/2018,39,306,BAPI,,,2GA,1,WL,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,40,306,BAPI,,,PHAQ,4,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,41,306,,,,PHAQ,7,VUBR,2FA,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,42,306,BAPI,,,RUUR,12,VUBR,,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,43,306,,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,44,306,,,,VUBR,4,,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,45,306,,,,VITE,30,PHAQ,VUBR,GEDI,L,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,46,306,,,,PHAQ,11,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,47,306,BAPI,,,NOPLANT,NA,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,48,306,BAPI,,,RUAC3,1,,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,49,306,,,,PHAQ,10,VUBR,WL,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,4/19/2018,50,306,,,,VUBR,18,PHAQ,WL,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,1,126,BAPI,,,PHAQ,70,GEDI,VUBR,VITE,2GP,,,,,,,S,4,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,2,126,,,,PHAQ,35,GEDI,VUBR,,,,,,,,,AM,,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,3,126,,,,PHAQ,40,VUBR,GEDI,2GP,,,,,,,,S,3,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,4,126,,,,SCIRP,35,PHAQ,GEDI,2GP,,,,,,,,AM,3,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,5,126,,,,VUBR,45,VISA,VITE,PHAQ,GEDI,2GP,,,,,,S,5,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,6,126,,,,PHAQ,50,SCIRP,VISA,GEDI,2GP,,,,,,,S,4,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,7,126,BAPI,,,PHAQ,35,VITE,VUBR,2GP,,,,,,,,S,3,0
SMA-11-01,TOKA,TOKA-006,5/14/2021,8,126,,,,PHAQ,45,GEDI,VUBR,2GP,,,,,,,,S,3,0
